text,username,likes,comments,retweets,quotes,is-retweet,external-link,pictures,videos,gifs
"This sweet baby boy is so precious🥹 he came to get some food but there was none left, luckily some other children shared with him. Habibi, he was so excited to tell his mama he finally found something to eat",@VANITYxVAULT,14848,159,8226,823,True,,[],['https://video.twimg.com/amplify_video/1735453932460077056/pl/t2RQISjl1Tz0Q1hK.m3u8?tag=14&container=fmp4'],[]
"#zosan hookup but sanji doesn't know it's a hookup. Because he thinks he confessed?? (He didn't) and now he's in the kitchen making food and zoro arrives,and sanji thinks it's going to be different now, they will fight but also be lovey dovey and affectionate.",@sanjiismyfood,1014,7,74,4,True,,[],[],[]
It depends on many factors as well such as knowledge of food security.,@ShambaCalendar,0,0,0,0,False,,[],[],[]
Keith Lee repeatedly says he just wants to eat food and be treated like everybody else. He came the city where that’s exactly how it goes and he says he didn’t feel welcomed.,@KingKlerlie,9042,130,816,521,True,,['https://pbs.twimg.com/media/GBVf3BXXcAAOnzK.jpg'],[],[]
／ #DCM × #ベル食品 コラボ #キャンペーン ＼  #土鍋のような鍋 と北海道豪華鍋つゆ8種セットが3名様に当たる🎯  応募方法は👇 1️⃣@dcm_official_jpと@bellbell_foodsをフォロー 2️⃣この投稿をリポスト 3️⃣当選者にはDCMからDMでご連絡  引用リポストすると当選確率UP‼ 応募は12/20まで  #懸賞  続く👇,@bellbell_foods,1114,75,3456,393,True,,['https://pbs.twimg.com/media/GBW3a8VbIAAaxPy.jpg'],[],[]
Best Igbo Food: Eba with Okro Soup Best Hausa Food : Rice And Beans Best Yoruba Food: Amala with Ewedu.  Which One is the Sweetest Nigerian Food by tribe 😋🤪🤪,@Engr1Aminu,47,35,42,0,True,,[],[],[]
"an archon, an oni and an emergency food walks into a haunted house #Halloween #Furina #GenshinImpact",@cilorine,45356,84,8550,71,True,,"['https://pbs.twimg.com/media/F9xRNz0aAAApHUh.jpg', 'https://pbs.twimg.com/media/F9xRNzvaEAAqrGG.jpg']",[],[]
strawberry food poll🍓  likes/retweets appreciated~💕,@oddinarycal,60,1,14,1,True,,"['https://pbs.twimg.com/media/GBWt3LRXkAAK6Me.jpg', 'https://pbs.twimg.com/media/GBWt3LKXAAAr-8y.jpg']",[],[]
-More people to randomly tweet positive reviews about Eni's Restaurant.  -More customers at the restaurant -More reservations -Restaurant /Food Biz Consultancy gigs,@WildChefHuman,3,0,1,0,True,,[],[],[]
"Dr. Meryl Nass breaks down the globalist agenda to seize absolute dictatorial control over not only global ""health"", but also agriculture, food, energy and financial transactions (in the form of CBDCs).  ""[The WHO's proposed pandemic treaty is] one puzzle piece in a larger puzzle where there will be control of agriculture, food, energy and other things, as globalists try to cement control of critical industries.""  ""They're already talking [in documents from the World Bank, G20, EU etc] about global government... So I think that's where they hope this is going.""  ""It's going to be a power struggle, and will the ability to initiate more pandemics play into this? Will they be able to generate enough fear so that people [turn over their sovereignty to unelected globalist bodies like the WHO]?   Watch the full interview: https://theepochtimes.com/epochtv/why-the-whos-new-plan-should-worry-everyone-dr-meryl-nass-atlnow-5525935?utm_source=partner&utm_campaign=wideawake_media&src_src=partner&src_cmp=wideawake_media  Subscribe to us on Telegram: https://t.me/realwideawakemedia  Subscribe to our newsletter, for daily email updates: https://www.wide-awake-media.com",@wideawake_media,139,13,91,7,True,,[],['https://video.twimg.com/ext_tw_video/1735585943061422081/pu/pl/8OzjK67RRWjOFJl_.m3u8?tag=12&container=fmp4'],[]
